Common Name,Scientific Name,Expansion Version,Color,Power Category,Power Text,Predator,Flocking,Bonus Card,Victory Points,Nest Type,Egg Capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild,/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener
Little Pied Cormorant,Microcarbo melanoleucos,oceania,Yellow,Food-related,"Lay 1 [egg] on each of your birds with a [platform] nest, including this one.",,,,4,Platform,2,88,,,X,1,,1,,,,,,,,,,,,,,0,,,,0,X,,,X,,,,X,,,,X,
Loggerhead Shrike,Lanius ludovicianus,originalcore,Pink,Caching Food,"When another player takes the ""gain food"" action, if they gain any number of [rodent], also gain 1 [rodent] from the supply and cache it on this card.",,,,3,Bowl,4,30,,X,X,1,,,,1,,,,,2,X,,,,X,X,0,,,,0,,,,,,,X,,,X,,,X
Long-Tailed Tit,Aegithalos caudatus,european,White,Other,"Place this bird sideways, so that it covers 2 [forest] spaces. Pay the lower egg cost.",,,,0,Wild,4,18,X,,,1,1,,,,,,,,2,X,,,,X,,0,X,,X,0,,,X,,X,,X,X,,,,,X
Magpie-Lark,Grallina cyanoleuca,oceania,Yellow,Food-related,"Discard 2 [egg] from your [forest]. If you do, play 1 bird in your [grassland] at its normal food cost (ignore its egg cost). If it has a ""when played"" or ""game end"" power, you may use it.",,,,5,Bowl,3,57,,X,,1,1,,,,,,X,,,,,,,,,0,X,,,0,,,,,,,,,X,,,,X
Major Mitchell's Cockatoo,Lophochroa leadbeateri,oceania,Brown,Other,"Tuck 1 [card] from your hand behind this bird. If you do, all players gain 1 [seed] from the supply.",,X,,6,Cavity,2,81,X,X,,,2,,,,,,,,,,,,,,X,X,X,,,0,,,,X,X,,,,,,,,
Mallard,Anas platyrhynchos,originalcore,Brown,Card-drawing,Draw 1 [card].,,,,0,Ground,4,89,,,X,1,1,,,,,,X,,1,,,,,X,,0,X,,X,0,,,,X,,,,,,,,X,
Malleefowl,Leipoa ocellata,oceania,Yellow,Food-related,"Lay 1 [egg] on each of your birds with a [ground] nest, including this one.",,,,2,Ground,6,33,X,X,,,1,,,,,1,,,,,X,,,X,X,0,X,,X,0,,,,,,X,,,,,,,
Maned Duck,Chenonetta jubata,oceania,Brown,Card-drawing,"Tuck up to 3 [card] from your hand behind this bird. If you tuck at least 1 [card], gain 1 [seed] from the supply.",,X,,2,Cavity,4,79,,,X,,,,,,,2,,,,,,,,X,,X,,,,0,,,,X,X,X,,,,,,X,
Many-Colored Fruit Dove,Ptilinopus perousii,oceania,Brown,Egg-laying,All players gain 1 [fruit] from the supply. You gain 1 additional [fruit] from the supply.,,,,2,Platform,2,30,X,,,,,,1,,,,,,,,,,,X,,0,,,,0,,,X,,,,X,X,,,X,,
Masked Lapwing,Vanellus miles,oceania,White,,"Reset the birdfeeder, then, for each type of food in the birdfeeder, gain 1 of that type.",,,,1,Ground,3,80,,X,X,1,1,,,,,,X,,,X,,,,X,X,0,X,,X,0,,,,X,,,,,,,,,
Mississippi Kite,Ictinia mississippiensis,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [rodent], gain 1 [rodent] and cache it on this card.",X,,,4,Platform,1,79,X,X,,1,,,,1,,,X,,1,,X,,,,X,0,,,,X,,,,X,,,,X,,X,,,
Mistletoebird,Dicaeum hirundinaceum,oceania,Brown,Card-drawing,"Gain 1 [fruit] from the supply, or discard 1 [fruit] to gain 1 [nectar] from the supply.",,,,3,Wild,4,18,X,,,,,,2,,1,,,,,,,,,X,,0,,X,X,0,,,X,,X,,X,X,,,X,,X
Moltoni's Warbler,Sylvia subalpina,european,Teal,Other,"If you used all 4 types of actions this round, play another bird. Pay its normal food and egg cost.",,,,3,Bowl,2,17,,X,,1,,,1,,,,,,2,,,X,,X,,0,,,,0,,,,,,,X,,X,,X,,X
Montagu's Harrier,Circus pygargus,european,White,Hunting and fishing,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.",X,,,4,Ground,2,113,,X,,,,,,2,,,,X,2,,,X,,,,0,,,X,X,,,,X,,,,,X,X,,,
Mountain Bluebird ,Sialia currucoides,originalcore,White,Other,Play a second bird in your [grassland]. Pay its normal cost.,,,,4,Cavity,5,36,,X,,1,,,1,,,,,,2,,X,,X,,,0,,,,0,,,,,X,,,,X,,X,,
Mountain Chickadee ,Poecile gambeli,originalcore,Brown,Caching Food,Gain 1 [seed] from the supply and cache it on this card.,,,,2,Cavity,3,23,X,,,1,1,,,,,,X,,1,,X,,,X,,0,X,,,0,,,X,,X,,X,,,,,,
Mourning Dove ,Zenaida macroura,originalcore,Brown,Egg-laying,Lay 1 [egg] on this bird.,,,,0,Platform,5,46,X,X,X,,1,,,,,,,,1,,,,,X,X,0,X,,,0,,,,,,,,X,,,,,
Musk Duck,Biziura lobata,oceania,Brown,Other,Draw 1 face-up [card] from the tray with a [ground] or [star] nest. You may reset or refill the tray before doing so.,,,,2,Ground,2,87,,,X,1,1,1,,,,,X,,,,,,,X,,0,X,,X,0,X,,,X,,,,,,,,X,
Mute Swan,Cygnus olor,european,Brown,Flocking,"Choose 1-3 birds in your [wetland]. Tuck 1 [card] from your hand behind each. If you tuck at least 1 card, draw 1 [card].",,,,4,Ground,3,220,,,X,1,1,,,,,1,,,3,,,,,,,0,X,X,X,0,,,,X,,X,,,,,,X,
New Holland Honeyeater,Phylidonyris novaehollandiae,oceania,Brown,Food-related,"Gain 1 [nectar] from the birdfeeder, if there is one.",,,,0,Bowl,3,20,,X,,,,,,,1,,,,,,X,,,X,,0,,,,0,,,,,,,X,,X,,,,X
Noisy Miner,Manorina melanocephala,oceania,Brown,Food-related,"Tuck 1 [card] from your hand behind this bird. If you do, lay up to 2 [egg] on this bird. All other players may lay 1 [egg].",,X,,3,Bowl,6,41,X,X,,1,,,,,1,1,,,,,,,,X,X,X,,X,,0,,,,,,X,,,,,,,X
North Island Brown Kiwi,Apteryx mantelli,oceania,White,,"Discard a bonus card. If you do, draw 4 bonus cards, keep 2, and discard the other 2.",,,X,6,Wild,1,*,X,X,,2,1,,,,,,,,,,X,,X,,X,0,X,X,X,0,,,,X,X,,,X,,,,,X
Northern Bobwhite,Colinus virginianus,originalcore,Brown,Egg-laying,Lay 1 [egg] on this bird.,,,,5,Ground,6,33,,X,,,3,,,,,,,,3,,X,,X,,,0,X,X,X,0,,,,,,,,,X,,,,
Northern Cardinal ,Cardinalis cardinalis,originalcore,Brown,Food from Supply,Gain 1 [fruit] from the supply.,,,,3,Bowl,5,30,X,,,,1,,1,,,,,,2,,X,,,X,,0,X,,,0,,,X,,,,X,,,,X,,X
Northern Flicker,Colaptes auratus,originalcore,White,Food from Birdfeeder,Gain all [invertebrate] that are in the birdfeeder.,,,,2,Cavity,4,51,X,X,,1,1,,1,,,,X,,1,,X,,,X,X,0,X,,,0,,,,,X,,,,,,X,,
Northern Gannet,Morus bassanus,european,Brown,Hunting and fishing,"Roll all dice not in birdfeeder. If any are a [fish], gain that many [fish] from the supply and cache them on this bird.",X,,,5,Ground,1,173,,,X,,,2,,,,,,,2,,X,,,,,0,,,X,X,X,,,X,,,,,,,,X,
Northern Goshawk,Accipiter gentilis,european,White,Hunting and Fishing,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.",X,,,5,Platform,2,106,X,,,,,,,2,,,,X,2,,X,,,,,0,,,,X,,,X,X,,,,X,,X,,,
Northern Harrier ,Circus cyaneus,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <75cm, tuck it behind this bird. If not, discard it.",X,,,3,Platform,2,109,,X,X,,,,,1,,,,,1,,X,,,X,X,0,,,,X,,,,X,,,,X,,X,,,
Northern Mockingbird ,Mimus polyglottos,originalcore,Brown,Other,Repeat a brown power on one other bird in this habitat.,,,,2,Bowl,4,36,X,X,X,1,,,1,,,,,,2,,X,,,X,X,0,,,,0,,,,,,,,,,,X,,X
Northern Shoveler ,Spatula clypeata,originalcore,Brown,Card-drawing,All players draw 1 [card] from the deck.,,,,7,Ground,4,76,,,X,1,2,,,,,,,,3,,X,,,,,0,X,X,X,0,,,,X,,,,,,,,X,
Orange-Footed Scrubfowl,Megapodius reinwardt,oceania,Yellow,Food-related,"Lay 1 [egg] on each of your birds with a [ground] nest, including this one.",,,,1,Ground,5,43,X,,,,1,,1,,,,X,,,X,X,,X,X,,0,X,,X,0,,,X,,,,,,,,X,,
Osprey,Pandion haliaetus,originalcore,Brown,Food from Supply,All players gain 1 [fish] from the supply.,,,,5,Platform,2,160,,,X,,,1,,,,,,,1,,,,,,,0,,,,0,X,,,X,,,,X,,,,X,
Pacific Black Duck,Anas superciliosa,oceania,Yellow,Card-drawing,"For every 2 [egg] in your [wetland], lay 1 [egg] on this bird.",,,,2,Cavity,6,88,,,X,,1,,,,,1,,,,,X,,X,X,,0,X,,,0,,,,X,X,X,,,,,,X,
Painted Bunting ,Passerina ciris,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,5,Bowl,4,23,,X,,1,2,,,,,,,,3,,,,,,,0,X,X,,0,,,,,,,X,,X,,,,X
Painted Whitestart,Myioborus pictus,swiftstart,Brown,,Gain 1 [invertebrate] from the supply.,,,,1,Ground,3,22,X,,,1,,,,,,,,,1,,,,X,X,,0,,,X,0,,X,X,,,,X,,,,,,
Parrot Crossbill,Loxia pytyopsittacus,european,Brown,Food-related,"Remove any 1 [die] from the birdfeeder, then gain 1 [seed] from the supply.",,,,6,Bowl,2,30,X,,,,3,,,,,,,,3,X,,,,,,0,X,X,,0,,,X,,,,X,,,,,,X
Peaceful Dove,Geopelia placida,oceania,Brown,Food-related,Discard any number of [seed]. Lay 1 [egg] on this bird for each discarded [seed].,,,,3,Platform,4,25,X,X,,,1,,,,,,,,,,,,,X,X,0,X,,,0,,,,,,,X,X,,,,,
Peregrine Falcon ,Falco peregrinus,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <100cm, tuck it behind this bird. If not, discard it.",X,,,5,Platform,2,104,,X,X,,,,,2,,,,,2,,,,,,X,0,,,,X,,,,X,,,,X,,X,,,
Pesquet's Parrot,Psittrichas fulgidus,oceania,Brown,Hunting and fishing,"If the player to your right has a [nectar] in their personal supply, gain 1 [nectar] from the general supply.",,,,3,Cavity,2,30,X,,,,,,1,,1,,,,,,,,,X,,0,,,,0,,,X,,X,,X,,,,X,,
Pheasant Coucal,Centropus phasianinus,oceania,Pink,Other,"When another player takes the ""lay eggs"" action, lay 1 [egg] on this bird.",,,,1,Ground,4,50,,X,,1,,,,1,,,,,,,,,,X,,0,,,X,0,,,,,,,,,X,X,,,
Pied-Billed Grebe ,Podilymbus podiceps,originalcore,Brown,Card-drawing,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",,,,0,Platform,4,41,,,X,1,,1,,,,,X,,1,X,,,,X,,0,,,,0,X,,,,,,,X,,,,X,
Pileated Woodpecker ,Dryocopus pileatus,originalcore,Brown,Egg-laying,All players lay 1 [egg] on any 1 [cavity] bird. You may lay 1 [egg] on 1 additional [cavity] bird.,,,,4,Cavity,2,74,X,,,1,,,1,,,,,,2,,,,,,,0,,,,0,,,X,X,X,,,,,,X,,
Pine Siskin,Spinus pinus,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, gain 1 [seed] from the supply.",,X,,3,Bowl,2,23,X,,,,2,,,,,,,,2,,,,,X,,X,X,,,0,,,X,,,,X,,,,,,X
Pink-Eared Duck,Malacorhynchus membranaceus,oceania,Brown,Other,Draw 2 [card] from the deck. Keep 1 and give the other to another player.,,,,4,Cavity,3,64,,,X,,1,,,,,1,,,,X,,,X,,,0,X,,,0,,,,,X,X,,,,,,X,
Plains-Wanderer,Pedionomus torquatus,oceania,White,,Draw 1 bonus card for each bird in your [grassland]. Keep 1 and discard the rest.,,,X,4,Ground,3,32,,X,,1,1,,,,,,,,,,X,,,,,0,X,,X,0,,,,,,,,,X,,,,
Princess Stephanie's Astrapia,Astrapia stephaniae,oceania,Brown,Other,Choose 1 other player. You both lay 1 [egg].,,,,6,Platform,1,45,X,,,1,,,1,,,,,,,,,,,,,0,,,,0,,,X,,,,,X,,,X,,
Prothonotary Warbler,Protonotaria citrea,originalcore,,,,,,,8,Cavity,4,23,X,,X,2,1,,,,,,,,3,,,,,,X,0,X,X,,0,,,,,X,,X,,,,,,
Pūkeko,Porphyrio melanotus,oceania,Brown,Flocking,Lay 1 [egg] on an adjacent bird.,,,,4,Ground,3,78,,,X,,2,,,,,1,,,,,,,,,,0,X,X,X,0,,,,X,,X,,,,,,X,
Purple Gallinule ,Porphyrio martinicus,originalcore,Brown,Card-drawing,All players draw 1 [card] from the deck.,,,,7,Platform,4,56,,,X,,1,,1,,,1,,,3,,,,X,,,0,X,X,,0,,,,,,X,,X,,,X,X,
Purple Martin,Progne subis,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,2,Cavity,3,46,,X,X,1,,,,,,,,,1,,,,X,X,X,X,,,,0,,X,,,X,,,,,,,,
Pygmy Nuthatch,Sitta pygmaea,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, gain 1 [invertebrate] or 1 [seed] from the supply.",,X,,2,Cavity,4,20,X,,,1,1,,,,,,,,2,,,,,X,,X,X,,,0,,,X,,X,,X,,,,,,
Rainbow Lorikeet,Trichoglossus moluccanus,oceania,Brown,Egg-laying,"Discard 1 [nectar] to the ""spent nectar"" space for your [forest]. If you do, gain 2 [die] from the birdfeeder.",,,,1,Cavity,2,46,X,,,,,,1,,1,,,,,,,,,X,,0,,,,0,,,X,,X,,,,,,X,,
Red Crossbill,Loxia curvirostra,originalcore,Brown,Food from Supply,All players gain 1 [seed] from the supply.,,,,6,Bowl,2,28,X,,,,2,,,,,,,,2,X,,,X,,,0,X,,,0,,,X,,,,X,,,,,,X
Red Kite,Milvus milvus,european,White,Hunting and fishing,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.",X,,,4,Platform,2,157,X,X,X,,,,,1,,1,,X,2,,,,X,,X,0,,,,X,,,,X,,X,,X,,X,,,
Red Knot,Calidris canutus,european,White,Other,Draw 1 new bonus card. Then draw 3 [card] and keep 1 of them.,,,X,7,Ground,2,50,,,X,3,,,,,,,,,3,,,,X,,,0,,X,X,0,,X,,,,,,,,,,X,
Red Wattlebird,Anthochaera carunculata,oceania,White,,Gain 1 [nectar] from the supply for each bird with a wingspan less than 49cm in your [forest].,,,,3,Bowl,2,49,X,,,,,,,,2,,,,,X,,,X,X,,0,,,,0,,,X,,,,,,,,,,X
Red-Backed Fairywren,Malurus melanocephalus,oceania,Yellow,Other,"Lay 1 [egg] on each of your birds with a [star] nest, including this one.",,,,4,Wild,3,15,,X,,1,1,,,,,,,,,X,,,X,,,0,X,,X,0,,,,,X,,X,X,X,,,,X
Red-Backed Shrike,Lanius collurio,european,Brown,Food-related,Steal 1 [invertebrate] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,,,,5,Bowl,2,33,,X,,1,,,,1,,1,,,3,X,,,X,,,0,,X,,0,,,,,,X,,,X,X,,,X
Red-Bellied Woodpecker ,Melanerpes carolinus,originalcore,Brown,Caching Food,Gain 1 [seed] from the birdfeeder (if available). You may cache it on this card.,,,,1,Cavity,3,41,X,,,1,1,,,,,,X,,1,X,,,X,X,,0,X,,,0,,,X,,X,,,,,,,,
Red-Breasted Merganser,Mergus serrator,swiftstart,Brown,,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",,,,3,Ground,4,78,,,X,1,,1,,,,,,,2,X,,,X,X,,0,,,X,0,X,,,X,,,,,,,,X,
Red-Breasted Nuthatch ,Sitta canadensis,originalcore,Brown,Caching Food,Gain 1 [seed] from the supply and cache it on this card.,,,,2,Cavity,3,23,X,,,1,1,,,,,,X,,1,X,,,X,X,,0,X,,,0,,,X,,X,,X,,,,,,
Red-Capped Robin,Petroica goodenovii,oceania,Brown,Flocking,"If the player to your left has an [invertebrate] in their personal supply, gain 1 [invertebrate] from the general supply.",,,,2,Bowl,4,17,X,,,1,,,,,,,,,,X,,,X,X,,0,,,,0,,X,X,,,,X,,,,,,X
Red-Cockaded Woodpecker ,Picoides borealis,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,4,Cavity,2,36,X,,,1,,,1,,,,,,2,,,,X,,,0,,,,0,,,X,,X,,,,,,X,,
Red-Crowned Crane,Grus japonensis,chinesepromo,White,,Draw 3 new bonus cards and keep 1.,,,X,7,Ground,1,235,,,X,1,1,1,,,,,,,3,X,,,X,,,0,X,X,X,0,X,,,X,,,,,,,,X,
Red-Eyed Vireo ,Vireo olivaceus,originalcore,White,Other,Play a second bird in your [forest]. Pay its normal cost.,,,,3,Wild,2,25,X,,,1,,,1,,,,X,,1,X,,,X,X,,0,,,X,0,,,X,,X,,X,X,,,X,,X
Red-Headed Woodpecker ,Melanerpes erythrocephalus,originalcore,Brown,Caching Food,Gain 1 [seed] from the birdfeeder (if available). You may cache it on this card.,,,,4,Cavity,3,43,X,X,X,1,1,,,,,1,,,3,X,,,X,,X,0,X,X,,0,,,,,X,X,,,,,,,
Red-Legged Partridge,Alectoris rufa,european,Brown,Egg-laying,"Lay 1 [egg] on each bird in this column, including this one.",,,,1,Ground,6,48,,X,,,3,,,,,,,,3,X,,,X,X,,0,X,X,X,0,,,,,,,,,X,,,,
Red-Necked Avocet,Recurvirostra novaehollandiae,oceania,Brown,Other,"If the player to your left or right has an [invertebrate] in their personal supply, gain 1 [invertebrate] from the general supply.",,,,4,Ground,2,75,,,X,1,1,,,,,,,,,X,,,X,,,0,X,,X,0,,,,X,,,,,,,,X,
Red-Shouldered Hawk ,Buteo lineatus,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <75cm, tuck it under this bird. If not, discard it.",X,,,3,Platform,2,102,X,,,,,,,1,,,,,1,X,,,X,X,,0,,,,X,,,X,X,,,,X,,X,,,
Red-Tailed Hawk ,Buteo jamaicensis,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <75cm, tuck it behind this bird. If not, discard it.",X,,,5,Platform,2,124,X,X,X,,,,,2,,,,,2,X,,,X,,X,0,,,,X,,,,X,,,,X,,X,,,
Red-Winged Blackbird ,Agelaius phoeniceus,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, also lay 1 [egg] on this bird.",,X,,2,Bowl,3,33,,X,X,,1,,,,,,,,1,X,,,X,X,X,X,X,,,0,,,,,,,,,,,,,X
Red-Winged Parrot,Aprosmictus erythropterus,oceania,Brown,Flocking,"Give 1 [nectar] from your supply to another player. If you do, lay 2 [egg] on this bird or gain 2 [die] from the birdfeeder.",,,,6,Cavity,2,49,X,X,X,,1,,1,,1,,,,,X,,,X,,X,0,X,X,,0,,,,,X,,,,,,X,,
Regent Bowerbird,Sericulus chrysocephalus,oceania,Brown,Hunting and Fishing,Choose 1 other player. you both gain 1 [invertebrate] from the supply.,,,,3,Bowl,2,36,X,X,,1,1,,1,,,,X,,,,,,,X,X,0,X,,,0,,,,,,,,,,,X,,X
Ring-Billed Gull,Larus delawarensis,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,4,Ground,2,122,,,X,,,,,,,2,,,2,X,,,,,,X,,,X,0,,,,X,,X,,,,,,X,
Rose-Breasted Grosbeak ,Pheucticus ludovicianus,originalcore,Brown,Food from Birdfeeder,"Gain 1 [seed] or [fruit] from the birdfeeder, if there is one.",,,,6,Bowl,3,33,X,,,1,1,,1,,,,,,3,X,,,X,,,0,X,X,,0,,,X,,,,,,,,X,,X
Roseate Spoonbill ,Platalea ajaja,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,6,Platform,2,127,,,X,1,1,1,,,,,,,3,X,,,X,,,0,X,X,,0,X,,,X,,,,X,,,,X,
Royal Spoonbill,Platalea regia,oceania,Brown,Food-related,Draw 1 face-up [card] from the tray with a [platform] or [star] nest. You may reset or refill the tray before doing so.,,,,4,Platform,2,120,,,X,1,,1,,,,,,,,X,,,,,,0,,,,0,X,,,X,,,,X,,,,X,
Ruby-Crowned Kinglet ,Regulus calendula,originalcore,White,Other,Play a second bird in your [forest]. Pay its normal cost.,,,,2,Bowl,3,20,X,,,1,1,,1,,,,X,,1,X,,,X,X,,0,X,,,0,,,X,,,,X,,,,X,,X
Ruby-Throated Hummingbird,Archilochus colubris,originalcore,Brown,Food from Birdfeeder,"Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.",,,,4,Bowl,2,10,X,X,X,,,,,,,1,,,1,X,,,X,,X,0,,,,0,,,,,,X,X,,,,,,X
Ruddy Duck,Oxyura jamaicensis,originalcore,Brown,Card-drawing,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",,,,0,Platform,5,48,,,X,1,1,,,,,,X,,1,,,,X,X,,0,X,,,0,,,,,,,,X,,,,X,
Ruff,Calidris pugnax,european,Teal,Flocking,Tuck up to 3 [card] from your hand behind this bird. Draw 1 [card] for each card you tucked.,,X,,2,Ground,2,56,,X,X,1,,,,,,1,,,2,,,,,X,X,X,,,X,0,,,,,,X,,,,,,,
Rufous Night-Heron,Nycticorax caledonicus,oceania,Brown,Hunting and fishing,"Look at a [card] from the deck. If it can live in [wetland], tuck it behind this bird. If not, discard it.",X,,,5,Platform,2,106,,,X,1,,1,,,,,,,,,,,X,,,0,,,,X,X,,,X,,,,X,,,,X,
Rufous Owl,Ninox rufa,oceania,Brown,Other,Draw 1 face-up [card] from the tray with a wingspan less than 75cm and tuck it behind this bird.,X,,,7,Cavity,2,115,X,,,,,,,3,,,,,,,,,X,,,0,,X,,X,,,X,X,X,,,,,X,,,
Rufous-Banded Honeyeater,Conopophila albogularis,oceania,Brown,Food-related,"Discard 1 [invertebrate]. If you do, gain 1 [nectar] from the supply.",,,,0,Bowl,4,22,X,,X,1,,,,,1,,X,,,,,,X,X,X,0,,,,0,,X,,,,,X,,,,,,X
Sacred Kingfisher,Todiramphus sanctus,oceania,Pink,Egg-laying,"When another player takes the ""gain food"" action, gain 1 [invertebrate], [fish], or [rodent] from the birdfeeder, if there is one, at the end of their turn.",X,,,0,Cavity,4,30,X,X,X,1,,1,,1,,,X,,,,,,,X,X,0,,,,X,X,,,,X,,X,,,X,,,
Sandhill Crane,Antigone canadensis,originalcore,Brown,Flocking,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,,X,,5,Ground,1,196,,X,X,,2,,,,,1,,,3,,X,,,,X,X,X,X,X,0,,,,X,,X,,,,,,,
Savannah Sparrow ,Passerculus sandwichensis,originalcore,White,Other,Play a second bird in your [grassland]. Pay its normal cost.,,,,2,Ground,3,18,,X,,1,1,,,,,,X,,1,,X,,,X,,0,X,,X,0,,,,,,,X,,X,,,,
Savi's Warbler,Locustella luscinioides,european,Brown,Card-drawing,Draw 2 [card]. All other players draw 1 [card] from the deck.,,,,1,Bowl,4,20,,,X,1,,,,,,,,,1,,,X,,X,,0,,,,0,,X,,,,,X,,,,,X,X
Say's Phoebe,Sayornis saya,originalcore,White,Egg-laying,Lay 1 [egg] on each of your birds with a [bowl] nest.,,,,5,Bowl,3,33,,X,,3,,,,,,,,,3,,,X,,,,0,,X,,0,,X,,,,,,,X,,,,X
Scaled Quail,Callipepla squamata,swiftstart,Brown,,Lay 1 [egg] on this bird.,,,,0,Ground,6,36,,X,,,1,,,,,,,,1,,,,,X,,0,X,,X,0,,,,,,,,,X,,,,
Scissor-Tailed Flycatcher ,Tyrannus forficatus,originalcore,Brown,Food from Supply,All players gain 1 [invertebrate] from the supply.,,,,8,Bowl,2,38,,X,,2,,,1,,,,,,3,X,,,,,,0,,X,,0,,,,,,,,,X,,X,,X
Short-Toed Treecreeper,Certhia brachydactyla,european,Brown,Other,"Discard 1 [egg] from any bird. If you do, play another bird in your [forest]. Pay its normal food and egg cost.",,,,2,Cavity,5,20,X,,,1,1,,,,,,,,2,X,,,,X,,0,X,,,0,,,X,,X,,X,,,,,,
Silvereye,Zosterops lateralis,oceania,Brown,Food-related,All players gain 1 [nectar] from the supply.,,,,4,Bowl,4,17,X,X,X,1,,,,,1,,,,,X,,,X,,X,0,,,,0,,X,,,,,X,,,,,,X
Snow Bunting,Plectrophenax nivalis,european,Pink,Tucking,"When another player tucks a [card] for any reason, tuck 1 [card] from your hand behind this bird, then draw 1 [card] at the end of their turn.",,X,,5,Cavity,2,35,,X,X,1,1,,,,,,,,2,,,,,,X,X,X,,,0,,,,,X,,,,,,,,
Snowy Egret ,Egretta thula,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card.",X,,,4,Platform,2,104,,,X,1,,1,,,,,X,,1,,,,X,,,0,,,,X,X,,,X,,,,X,,,,X,
Snowy Owl,Bubo scandiacus,european,White,Other,Draw 1 new bonus card. Then gain 1 [card] or lay 1 [egg] on any bird.,,,X,4,Ground,3,138,,X,X,,,,,2,,,,,2,,,,X,,X,0,,,X,0,,,,X,,,,,,X,,,
Song Sparrow ,Melospiza melodia,originalcore,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",,,,0,Bowl,5,20,X,X,X,1,1,,1,,,,X,,1,,,,,X,X,0,X,,,0,,,,,,,X,,,,X,,X
South Island Robin,Petroica australis,oceania,Brown,Food-related,"If the player to your right has an [invertebrate] in their supply, cache 1 [invertebrate] from the general supply on this bird.",,,,1,Bowl,5,24,X,X,,1,,,,,,,,,,,X,,,X,X,0,,,,0,,X,,,,,X,,,,,,X
Southern Cassowary,Casuarius casuarius,oceania,White,Other,"Discard a bird from your [forest] and put this bird in its place (do not pay an egg cost). If you do, lay 4 [egg] on this bird and gain 2 [fruit] from the supply.",,,,4,Ground,4,*,X,,,,,,2,,,1,,,,,X,,,,,0,,X,X,0,,,X,X,,X,,,,,X,,
Spangled Drongo,Dicrurus bracteatus,oceania,Pink,Egg-laying,"When another player gains [nectar], gain 1 [nectar] from the supply.",,,,1,Bowl,2,27,X,,,1,,,,,1,1,,,,,,,,X,,0,,X,,0,,,X,,,X,X,,,,,,X
Splendid Fairywren,Malurus splendens,oceania,Yellow,Food-related,"Lay 1 [egg] on each of your birds with a wingspan less than 30cm, including this one.",,,,1,Wild,5,15,X,X,,2,,,,,,,,,,,,,,X,X,0,,,X,0,,X,,,X,,X,X,,,,,X
Spotless Crake,Zapornia tabuensis,oceania,Yellow,Hunting and Fishing,"Lay 1 [egg] on each bird in your [wetland], including this one.",,,,1,Ground,3,28,,,X,1,1,,,,,,X,,,,,,,X,,0,X,,X,0,,,,,,,X,,,,,X,
Spotted Owl,Strix occidentalis,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,5,Cavity,1,102,X,,,,,,,2,,,,,2,,,,,,,0,,,,0,,,X,X,X,,,,,X,,,
Spotted Sandpiper ,Actitis macularius,originalcore,Brown,Card-drawing,All players draw 1 [card] from the deck.,,,,5,Ground,2,38,,,X,1,,,,,,,,,1,,,,,,,0,,,X,0,,X,,,,,,,,,,X,
Spotted Towhee ,Pipilo maculatus,originalcore,Brown,Food from Supply,Gain 1 [seed] from the supply.,,,,0,Ground,4,28,X,X,,1,1,,1,,,,X,,1,,,,,X,X,0,X,,X,0,,,,,,,X,,,,X,,
